rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,linedress,linedressed,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
5464.699999809265,{worker_id:patrickstar},id_enter,5466,id_enter,GW/camera.jpg; GW/hat.jpg; GW/basket.jpg; GW/paint.jpg; GW/gong.jpg; GW/barrel.jpg; GW/snail.jpg; GW/globe.jpg; GW/teeth.jpg; GW/wheelchair.jpg; GW/dustpan.jpg; GW/soldier.jpg; GW/jukebox.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
950.3999996185303,,html-button-response,6419,
        <style>
            ul {
                list-style-type: disc;
                margin: 20px 0;
                padding-left: 100px;
                text-align: left;
            }
            li {
                margin-bottom: 15px;
                font-size: 18px;
                line-height: 1.6;
            }
            p {
                font-size: 18px;
                line-height: 1.6;
                margin: 10px 0;
                text-align: center;
            }
        </style>
        <h3 style='text-align: center'><strong>Thank you for your participation in this study. Please:</strong></h3>
        <br />
        <ul>
            <li>Follow the instructions for each task and try your best to perform well.</li>
            <li>Maximize your browser and focus completely on the task without any distractions.</li>
            <li><strong>DO NOT</strong> take notes during the experiment, as this interferes with our ability to accurately measure the learning process.</li>
            <li><strong>DO NOT</strong> participate if you feel you cannot fully commit to these requirements.</li>
        </ul> <br />
        <p>When you are ready to take the experiment, click 'Enter Fullscreen' to begin.</p> <br />
    ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1413.1000003814697,,intro_1,7834,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7722.699999809265,,intro_2,15558,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
873.5,,intro_3,16434,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,18437,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,19440,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
958.2000002861023,,intro_1,20400,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
731.5999999046326,,intro_2,21133,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,23136,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,24139,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
741.2999997138977,,intro_1,24882,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
666.5,,intro_2,25549,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
900,,intro_3,26450,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,27236,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,27857,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
419,,prac_atten_color_black,29860,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,30647,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
360.2999997138977,,prac_atten_color,31384,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,33388,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,34056,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
507.8999996185303,,prac_atten_color,35005,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,37007,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,37466,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,38079,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
240.69999980926514,,prac_atten_color_black,40082,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,40874,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,41322,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
162.7999997138977,,prac_atten_color_black,43324,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,44284,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
457,,prac_atten_color,44867,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,46870,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,47693,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
487.69999980926514,,prac_atten_color,48710,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,50713,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,51102,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
492.2000002861023,,prac_atten_color,51610,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,53612,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,54511,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,
503.09999990463257,,prac_atten_color,55235,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
